AMBUJACEM,20230519,399.05,406.0,395.65,403.15,4401094,
AMDIND,20230519,56.2,56.95,56.05,56.55,12590,
AMIORG,20230519,1174.9,1186.0,1150.35,1160.7,102085,
AMJLAND,20230519,23.7,24.3,23.5,23.55,8344,
AMRUTANJAN,20230519,604.65,604.65,597.5,598.95,8881,
ANANDRATHI,20230519,860.0,863.0,847.25,862.45,18980,
ANANTRAJ,20230519,146.6,146.8,143.6,145.25,500622,
ANDHRAPAP,20230519,460.0,460.0,451.65,455.35,54339,
ANDHRSUGAR,20230519,117.35,117.35,115.0,116.0,53799,
ANDREWYU,20230519,23.3,23.5,22.35,23.0,135422,
ANGELONE,20230519,1239.0,1239.0,1181.2,1195.9,470670,
ANIKINDS,20230519,31.7,32.3,30.95,31.45,54019,
ANMOL,20230519,240.2,240.2,231.55,233.35,21433,
ANUP,20230519,1475.0,1479.5,1405.0,1422.45,90029,
ANURAS,20230519,1169.95,1200.0,1161.25,1197.7,219904,
APARINDS,20230519,2729.85,2760.05,2651.0,2716.85,63805,
APCL,20230519,178.1,179.1,176.75,177.3,5423,
APCOTEXIND,20230519,480.0,487.2,475.0,484.85,31966,
APEX,20230519,199.65,199.65,195.8,197.35,26622,
APLAPOLLO,20230519,1115.45,1119.75,1086.0,1092.7,2188962,
APLLTD,20230519,560.95,562.15,547.0,551.35,48943,
APOLLO,20230519,32.9,33.3,32.5,32.85,321461,
APOLLOHOSP,20230519,4455.0,4465.0,4410.25,4447.15,177405,
APOLLOPIPE,20230519,625.1,634.7,620.0,624.8,40556,
APOLLOTYRE,20230519,371.35,371.35,360.7,367.2,1835070,
APOLSINHOT,20230519,1534.8,1534.8,1291.0,1377.4,9598,
APTECHT,20230519,482.2,495.0,464.5,477.2,1170599,
APTUS,20230519,267.5,267.5,262.2,263.7,1642162,
ARCHIDPLY,20230519,68.5,68.6,66.9,67.7,15974,
ARCHIES,20230519,19.25,19.95,19.2,19.8,110622,
ARENTERP,20230519,33.35,33.9,32.25,33.55,2185,
ARIES,20230519,175.1,175.95,170.1,170.8,41866,
ARIHANTCAP,20230519,37.1,38.45,36.8,37.15,31858,
ARIHANTSUP,20230519,216.1,219.75,211.1,213.5,135151,
ARMANFIN,20230519,1538.7,1550.45,1510.0,1515.05,8452,
AROGRANITE,20230519,41.15,42.45,41.0,41.9,13484,
ARROWGREEN,20230519,268.1,278.35,265.1,278.35,30757,
ARSHIYA,20230519,6.45,6.45,6.1,6.15,393276,
ARTEMISMED,20230519,83.8,85.25,82.65,84.3,108320,
ARTNIRMAN,20230519,46.55,46.85,46.05,46.25,1367,
ARVEE,20230519,109.05,110.0,105.1,106.65,668,
ARVIND,20230519,118.1,124.25,117.15,122.85,8484117,
ARVINDFASN,20230519,281.2,282.5,276.35,278.35,50652,
ARVSMART,20230519,328.25,339.0,306.0,335.7,306128,
ASAHIINDIA,20230519,463.4,463.4,454.7,455.95,68550,
ASAHISONG,20230519,208.9,209.05,204.4,207.15,2115,
ASAL,20230519,325.0,327.0,318.75,321.8,10704,
ASALCBR,20230519,364.9,367.3,360.05,364.05,15923,
ASHAPURMIN,20230519,148.15,152.0,145.25,149.7,366124,
ASHIANA,20230519,181.4,181.4,176.4,178.85,51461,
ASHIMASYN,20230519,14.15,14.6,13.95,14.25,62896,
ASHOKA,20230519,83.8,84.5,82.4,83.05,689650,
ASHOKLEY,20230519,152.7,154.95,151.55,154.7,7037870,
ASIANPAINT,20230519,3124.0,3127.95,3068.05,3084.45,633262,
ASIANTILES,20230519,51.55,52.6,50.05,51.3,615347,
ASPINWALL,20230519,218.3,219.0,208.3,214.2,5615,
